,CustomerID,OrderLastDate,OrderTotalValue,frequency,ChurnTime,M,F,R
0,12346.0,2011-01-18 10:17:00,0.0,2,325 days 02:33:00,5,5,5
1,12347.0,2011-12-07 15:52:00,4310.0,182,1 days 20:58:00,2,3,1
2,12348.0,2011-09-25 13:13:00,1797.24,31,74 days 23:37:00,4,5,1
3,12349.0,2011-11-21 09:51:00,1757.55,73,18 days 02:59:00,4,4,1
4,12350.0,2011-02-02 16:01:00,334.4,17,309 days 20:49:00,5,5,5
5,12352.0,2011-11-03 14:37:00,1545.41,95,35 days 22:13:00,4,4,1
6,12353.0,2011-05-19 17:47:00,89.0,4,203 days 19:03:00,5,5,3
7,12354.0,2011-04-21 13:11:00,1079.4,58,231 days 23:39:00,4,5,3
8,12355.0,2011-05-09 13:49:00,459.4,13,213 days 23:01:00,5,5,3
9,12356.0,2011-11-17 08:40:00,2811.43,59,22 days 04:10:00,3,5,1
10,12357.0,2011-11-06 16:07:00,6207.67,131,32 days 20:43:00,2,3,1
11,12358.0,2011-12-08 10:26:00,1168.06,19,1 days 02:24:00,4,5,1
12,12359.0,2011-12-02 11:21:00,6245.53,254,7 days 01:29:00,2,2,1
13,12360.0,2011-10-18 15:22:00,2662.06,129,51 days 21:28:00,3,3,1
14,12361.0,2011-02-25 13:51:00,189.9,10,286 days 22:59:00,5,5,4
15,12362.0,2011-12-06 15:40:00,5154.58,274,2 days 21:10:00,2,2,1
16,12363.0,2011-08-22 10:18:00,552.0,23,109 days 02:32:00,5,5,2
17,12364.0,2011-12-02 10:22:00,1313.1,85,7 days 02:28:00,4,4,1
18,12365.0,2011-02-21 14:04:00,320.69,23,290 days 22:46:00,5,5,4
19,12367.0,2011-12-05 16:48:00,168.9,11,3 days 20:02:00,5,5,1
20,12370.0,2011-10-19 14:51:00,3545.69,167,50 days 21:59:00,2,3,1
21,12371.0,2011-10-26 10:16:00,1887.96,63,44 days 02:34:00,4,4,1
22,12372.0,2011-09-29 12:12:00,1298.04,52,71 days 00:38:00,4,5,1
23,12373.0,2011-02-01 13:10:00,364.6,14,310 days 23:40:00,5,5,5
24,12374.0,2011-11-14 15:37:00,742.9300000000001,33,24 days 21:13:00,5,5,1
